Unnamed: 0;Url;ImageUrl;ProductId;Title;CategoryTree;ProductDescriptionEN;GlobalCategoryEN
2849;https://www.ikea.com/us/en/p/finnala-cover-for-sofa-section-gunnared-beige-40454843/;https://www.ikea.com/us/en/images/products/finnala-cover-for-sofa-section-gunnared-beige__0531865_pe647607_s5.jpg?f=s;40454843;FINNALA Cover for sofa section;Furniture/Sofas & sectionals/Sofa & armchairs covers/FINNALA covers;This cover is made of dope-dyed GUNNARED fabric in polyester. It is a durable fabric with a wool-like feel, a warm look and a two-toned mélange effect.;Furniture
1300;https://www.ikea.com/us/en/p/grasvingel-duvet-cover-and-pillowcase-s-white-black-flower-60498285/;https://www.ikea.com/us/en/images/products/grasvingel-duvet-cover-and-pillowcase-s-white-black-flower__0973165_pe821794_s5.jpg?f=s;60498285;GRÅSVINGEL Duvet cover and pillowcase(s);Beds & mattresses/Bedding/Bedlinen/Duvet cover sets;A stylish Scandinavian pattern with imaginary flowers adorns this soft comforter cover with pillowcases. Woven from sustainably sourced cotton that breathes, absorbs moisture, and feels comfy against your skin.;Beds & mattresses
4023;https://www.ikea.com/us/en/p/jutholmen-corner-section-outdoor-dark-gray-brown-80469116/;https://www.ikea.com/us/en/images/products/jutholmen-corner-section-outdoor-dark-gray-brown__0934845_pe792560_s5.jpg?f=s;80469116;JUTHOLMEN Corner section, outdoor;Furniture/Patio furniture/Outdoor sofa sections;All sections in the JUTHOLMEN series can be used freestanding or together to create a modular sofa in any size that suits your balcony or patio perfectly.;Furniture
3890;https://www.ikea.com/us/en/p/lappviken-door-white-50291676/;https://www.ikea.com/us/en/images/products/lappviken-door-white__0375438_pe553115_s5.jpg?f=s;50291676;LAPPVIKEN Door;Storage & organization/Storage solution systems/BESTÅ storage system/BESTÅ all parts & accessories;LAPPVIKEN white front has a sleek, simple design. It gives your storage a light, modern look and offers good quality at a low price. Complement with SINDVIK glass doors.;Storage & organization
4394;https://www.ikea.com/us/en/p/fejka-artificial-potted-plant-with-pot-indoor-outdoor-succulent-20395331/;https://www.ikea.com/us/en/images/products/fejka-artificial-potted-plant-with-pot-indoor-outdoor-succulent__0614187_pe686812_s5.jpg?f=s;20395331;FEJKA Artificial potted plant with pot;Home Décor/Plants & flowers/Artificial plants & flowers;FEJKA artificial potted plants don’t require a green thumb. Perfect when you have better things to do than water plants and pick up dead leaves. You’ll have everyone fooled because they look so lifelike.;Home Décor
5709;https://www.ikea.com/us/en/p/fixa-laser-level-90248450/;https://www.ikea.com/us/en/images/products/fixa-laser-level__0711974_pe728602_s5.jpg?f=s;90248450;FIXA Laser level;Home improvement/Tools & hardware/Tools;The FIXA series has all the tools and equipment you need to get your home just the way you want it. Complement the tools you already have or build a DIY starter kit for all your future projects.;Home improvement
80;https://www.ikea.com/us/en/p/haenga-childrens-coat-hanger-natural-60178769/;https://www.ikea.com/us/en/images/products/haenga-childrens-coat-hanger-natural__0710667_pe727698_s5.jpg?f=s;60178769;HÄNGA Children's coat-hanger;Baby & kids/Kids/Kids storage & organization/Children's hooks & wall organization;Made of solid wood, which is a durable and warm natural material.;Baby & kids
3821;https://www.ikea.com/us/en/p/haellan-cabinet-white-50363729/;https://www.ikea.com/us/en/images/products/haellan-cabinet-white__0554177_pe659666_s5.jpg?f=s;50363729;HÄLLAN Cabinet;Storage & organization/Display & storage cabinets/Dining room cabinets & cupboards;10-year Limited Warranty. Read about the terms in the Limited Warranty brochure.;Storage & organization
396;https://www.ikea.com/us/en/p/sundvik-childrens-rocking-chair-gray-40494014/;https://www.ikea.com/us/en/images/products/sundvik-childrens-rocking-chair-gray__0978563_pe814161_s5.jpg?f=s;40494014;SUNDVIK Childrens rocking-chair;Furniture/Armchairs & chaises/Kids armchairs;We all need a quiet moment sometimes and this grey rocking chair is just the right size for a small body that’s been playing all day. If you like the style, there is more furniture in the same series.;Furniture
714;https://www.ikea.com/us/en/p/nysjoen-high-cabinet-white-20470815/;https://www.ikea.com/us/en/images/products/nysjoen-high-cabinet-white__0971572_pe811380_s5.jpg?f=s;20470815;NYSJÖN High cabinet;Bathroom/Bathroom storage/Bathroom storage/Bathroom tall cabinets;This high cabinet gives you plenty of storage for all your essentials without taking up too much floor space. Hang the door so it opens left or right - whatever works best with your bathroom layout.;Bathroom
